samples	chr10:5799876	chr10:5801465	chr10:5801555	chr10:5801595	chr10:5801775	chr10:5801855	enhancer_sum	ENSG00000196372.11
TCGA-3C-AAAU_tumor	0.170883122	0.367872914	0.77609418	0.72625327	0.690652619	0.384487025	3.11624313	5.339457935
TCGA-3C-AALI_tumor	0.457480458	0	0.202347087	0.293403276	0.308579307	0.237757827	1.499567955	2.524626859
TCGA-3C-AALJ_tumor	0.993365033	0.509639452	0.345518272	0.65264601	0.835003644	1.157486213	4.493658624	4.87630908
TCGA-3C-AALK_tumor	0.153939344	0	0	0.153939344	0.365605942	0.527242253	1.200726883	4.337679805
TCGA-4H-AAAK_tumor	0.171990906	0.257986359	0.171990906	0.791158168	0.616300173	0.171990906	2.181417418	5.296878053
TCGA-5L-AAT0_tumor	0.234904061	0.234904061	0.234904061	0.280578806	1.062940875	0.458062919	2.506294783	5.591111243
TCGA-5L-AAT1_tumor	0.330462575	0.330462575	0.330462575	0.330462575	0.330462575	0.624207454	2.276520329	3.896111188
TCGA-5T-A9QA_tumor	0	0.435681571	0.469420268	0.455614003	0.242045317	0.375170242	1.977931401	5.292773648
TCGA-A1-A0SB_tumor	0.153354234	0.23003135	0.490733547	0.318210035	0.218529783	0.272203765	1.683062714	3.348680681
TCGA-A1-A0SD_tumor	0.69232893	0.266280358	0.256294844	0.133140179	0.31305916	0.133140179	1.79424365	4.169986503
TCGA-A1-A0SE_tumor	0.217863796	0.130067938	0.130067938	0.130067938	0.314679865	0.640584594	1.563332069	6.111681034
TCGA-A1-A0SF_tumor	0.333214582	0.666429164	0.416518228	0.860804337	0.432385589	0.396684026	3.106035926	5.463854551
TCGA-A1-A0SG_tumor	0.147424283	0.195195504	0.359571423	0.395528565	0.25013658	0.409911422	1.757767777	4.270684107
TCGA-A1-A0SH_tumor	0.123469329	0.123469329	0.123469329	0.237678459	0.253436849	0	0.861523295	4.059046977
TCGA-A1-A0SI_tumor	0	0.195825776	0.111900443	0.450399284	0.44200675	0.615452437	1.81558469	3.179655771
TCGA-A1-A0SJ_tumor	0	0.151507246	0.140936973	0.140936973	0.140936973	0.140936973	0.715255138	4.564230889
TCGA-A1-A0SK_tumor	0.172221453	0.12085716	0	0	0.12085716	0.280992897	0.69492867	3.411029706
TCGA-A1-A0SM_tumor	0.389850047	0.317449324	0.807546526	1.50092268	1.83229522	0.735145803	5.5832096	5.360887762
TCGA-A1-A0SN_tumor	0.12352731	0.3015524	0.142531987	0.213084611	0.494109242	0.333523738	1.608329288	4.518288532
TCGA-A1-A0SO_tumor	0.307279992	0.224550764	0.347602219	0.528876141	0.260006147	0.319098454	1.987413717	4.737887165
TCGA-A1-A0SP_tumor	0.129620474	0	0.172826867	0.259240948	0.184709176	0.301367602	1.047765067	3.209906115
TCGA-A1-A0SQ_tumor	0	0	0	0.151461955	0.151461955	0.151461955	0.454385865	4.582183886
TCGA-A2-A04N_tumor	0.583074654	0.439151163	0.302608365	0.546171195	0.21023753	0.281388876	2.362631783	4.363727612
TCGA-A2-A04P_tumor	0.606071515	0.538730236	0.467427704	0.930894157	1.144801751	0.847707871	4.535633234	3.06601448
TCGA-A2-A04Q_tumor	0.208218475	0.506618894	0.122287235	0.273107751	0.400490695	0.122287235	1.633010285	3.94612762
TCGA-A2-A04R_tumor	0.228717834	0.211124154	0.654484878	0.665041086	0.640409934	1.22803883	3.627816716	4.800758867
TCGA-A2-A04T_tumor	0.345629066	0.920657954	0.578087553	0.492444952	0.56891156	1.394750921	4.300482006	4.650559865
TCGA-A2-A04U_tumor	0.547728985	0.182576328	0.182576328	0	0.182576328	0.365152657	1.460610626	4.02768366
TCGA-A2-A04V_tumor	0.218514406	0.136571504	0.136571504	0.333840847	0.672614656	0.478000263	1.97611318	5.927924395
TCGA-A2-A04W_tumor	0	0.334778709	0.185988172	0.185988172	0.339910123	0.185988172	1.232653348	2.583823402
TCGA-A2-A04X_tumor	0.122672347	0.276012782	0.527491094	0.601094502	0.46615492	0.230010651	2.223436296	3.725318452
TCGA-A2-A04Y_tumor	0.572122703	0.385850195	1.043126045	1.383738631	1.093685726	1.141584371	5.620107671	2.960397256
TCGA-A2-A0CK_tumor	0	0	0.156183612	0	0.156183612	0.230370828	0.542738052	5.72716758
TCGA-A2-A0CL_tumor	0.552710848	0.277415457	0.177470695	0.33675098	0.556371184	0.915084185	2.815803349	3.559971397
TCGA-A2-A0CM_tumor	1.206175145	0.571346121	0.471587275	0.829812224	0.603087573	0.612156559	4.294164897	4.208609726
TCGA-A2-A0CO_tumor	0.295837524	0.469683	0	0.162102753	0.684884131	1.09824615	2.710753558	4.342729803
TCGA-A2-A0CP_tumor	0	0	0.223880465	0.223880465	0.742340607	0.671641395	1.861742932	4.57010254
TCGA-A2-A0CQ_tumor	0.474933483	0.404459482	0.625073745	0.922290182	0.873264791	0.245126959	3.545148642	4.278991348
TCGA-A2-A0CR_tumor	0	0	0	0	0	0	0	4.541976117
TCGA-A2-A0CS_tumor	0	0	0	0	0.180142782	0.180142782	0.360285564	4.347992249
TCGA-A2-A0CT_tumor	0	0.392030866	0.174235941	0.174235941	0.202338455	0.174235941	1.117077144	4.859810617
TCGA-A2-A0CU_tumor	0.791321595	0.62946036	0.48198679	0.80570926	0.920810583	0.935198249	4.564486837	6.131550007
TCGA-A2-A0CV_tumor	0	0	0	0	0.2430839	0	0.2430839	4.247992541
TCGA-A2-A0CW_tumor	0.23483655	0.255644852	0.567769381	0.208083019	0.594522912	0	1.860856714	3.363812509
TCGA-A2-A0CX_tumor	0.148995831	0.551284574	0.232805985	0.879075401	0.450909062	0.398563847	2.6616347	3.228577509
TCGA-A2-A0CY_tumor	2.72035216	0.210459889	0.156342078	0.805161703	1.739305619	0.656636728	6.288258177	5.623305082
TCGA-A2-A0CZ_tumor	0	0.162085617	0.200678202	0.301814764	0.461944007	0.352536216	1.479058806	4.449735421
TCGA-A2-A0D0_tumor	0	0.250291762	0.400331912	0.343814088	0.146003163	0.292006325	1.43244725	3.981862627
TCGA-A2-A0D1_tumor	0.267041248	0.250736229	0.382074254	0.565151501	0.5452518	0.585051202	2.595306234	3.414043776
TCGA-A2-A0D2_tumor	0.262466116	0	0.164362753	0.2876341	0.341565493	0.769421216	1.825449678	4.87101975
TCGA-A2-A0D3_tumor	0	0.45103024	0.85871742	0.428951837	0.328021993	0.369024742	2.435746232	5.416059096
TCGA-A2-A0D4_tumor	0.387586968	0.10618821	0.10618821	0	0.128050239	0.374313441	1.102327068	3.57143076
TCGA-A2-A0EM_tumor	0.14141224	0.15908877	0.480801616	0.3535306	0.470195698	0.372813573	1.977842497	4.963116542
TCGA-A2-A0EN_tumor	0.392109443	1.115333526	0.984630379	1.1908509	1.185041872	1.193755415	6.061721535	3.945480159
TCGA-A2-A0EO_tumor	0	0.219444047	0.215856897	0.353220378	0.455034189	0.3434087	1.586964211	5.396871049
TCGA-A2-A0EP_tumor	0.146323347	0.42510783	0.150601534	0.397383406	0.428188321	0.215634406	1.763238844	3.896155151
TCGA-A2-A0EQ_tumor	0	0.225566381	0.23475224	0	0.19902916	0.205663465	0.865011246	3.427452342
TCGA-A2-A0ER_tumor	0.174752644	0.293698717	0.158468731	0.414242823	0.400342057	0.111206127	1.552711099	5.163541637
TCGA-A2-A0ES_tumor	0.286899377	0.143449688	0.164967142	0.177424313	0.286899377	0.466211487	1.525851384	4.553396047
TCGA-A2-A0ET_tumor	0.113679939	0.391896812	0.157888931	0.434825768	0.366617804	0.372301801	1.837211055	4.665775405
TCGA-A2-A0EU_tumor	0	0.154245862	0.154245862	0.257076951	0.381758508	1.068152593	2.015479776	4.471941443
TCGA-A2-A0EV_tumor	0.165206332	0.496746305	0.238154371	0.462954039	0.283855031	0.533917797	2.180833875	5.329162124
TCGA-A2-A0EW_tumor	0.31317147	0.13918732	0.24357781	0.13918732	0.516982071	0.231979331	1.584085322	4.398949718
TCGA-A2-A0EX_tumor	0	0.399242271	0.150657461	0.150657461	0	0	0.700557193	5.029636795
TCGA-A2-A0EY_tumor	0.164786112	0.329572224	0.427098698	0.494358336	0.344920873	0.652418484	2.413154727	3.283617088
TCGA-A2-A0ST_tumor	0.541901583	0.26743195	0.535771761	0.577089997	0.513750851	0.960643715	3.396589857	4.03603065
TCGA-A2-A0SU_tumor	0	0	0.162587768	0.162587768	0.325175535	0.162587768	0.812938839	5.870064505
TCGA-A2-A0SV_tumor	0.163919749	0.108117212	0.289213543	0.108117212	0.329757497	0.197313912	1.196439125	4.911415133
TCGA-A2-A0SW_tumor	0.272512213	0.327014655	0.189879477	0.14846606	0.305916936	0.425470681	1.669260022	4.288705644
TCGA-A2-A0SX_tumor	0.795194822	0.745857917	0.29602143	0.531097272	0.16583817	0.35986919	2.893878801	3.44728349
TCGA-A2-A0SY_tumor	0	0.175456064	0	0.120625667	0.147864149	0.225687004	0.669632884	5.380026943
TCGA-A2-A0T0_tumor	0.122043175	0.45227736	0.131196413	0.463764063	1.156359079	0.323414413	2.649054503	4.396226874
TCGA-A2-A0T1_tumor	0.140932005	0.161064611	0.125272893	0.330264444	0.410268724	0.147195649	1.314998326	3.001564854
TCGA-A2-A0T2_tumor	0.690647548	1.00818665	0.51997028	1.655172571	0.547754952	0.301662147	4.723394148	4.43281672
TCGA-A2-A0T3_tumor	0.538548974	0	0.128993766	0.267662065	0.183816117	0.128993766	1.248014688	4.789046378
TCGA-A2-A0T4_tumor	0.18869329	0.377386581	0.377386581	0.377386581	0	0.18869329	1.509546323	4.57053355
TCGA-A2-A0T5_tumor	0	0.133610827	0.243839759	0.141469816	0.29728409	0.731519278	1.54772377	4.925575619
TCGA-A2-A0T6_tumor	0.115161217	0.115161217	0.176128717	0.115161217	0.564289964	0.506709356	1.592611688	4.201436671
TCGA-A2-A0T7_tumor	0	0.134717453	0.209292589	0.401264411	0.115471773	0.306824667	1.167570893	4.24761337
TCGA-A2-A0YC_tumor	0.112299502	0.923663403	0.575534947	1.221257083	0.306016143	0.45762047	3.596391548	5.479260266
TCGA-A2-A0YD_tumor	0.126607828	0.242665425	0.34500633	0.126607828	0.7343254	0.246552285	1.821765096	5.540856368
TCGA-A2-A0YE_tumor	0.244295418	0.199812624	0.287588276	0.303050012	0.402005117	0.411282159	1.848033606	2.816094361
TCGA-A2-A0YF_tumor	0	0.528374464	0.580390603	0.25186762	0.500997549	0.109507661	1.971137897	4.699045641
TCGA-A2-A0YG_tumor	0.137072324	0.133729097	0.317606604	0.334322741	0.49145443	0.274144648	1.688329844	3.642440587
TCGA-A2-A0YH_tumor	0.140594021	0.562376084	0.414752362	0.706875807	0.688910703	0.590494888	3.104003865	4.569798453
TCGA-A2-A0YI_tumor	0.25579173	0.294298012	0.115808193	0.288797114	0.396064614	0.366726128	1.717485791	4.853005422
TCGA-A2-A0YJ_tumor	0.139604753	0.418814259	0.171015822	0.68406329	0.80272733	0.785276736	3.00150219	4.837396156
TCGA-A2-A0YK_tumor	0.454295301	0.173253721	0.141431609	0.498733112	0.509153793	0.141431609	1.918299145	4.072180349
TCGA-A2-A0YL_tumor	0.170370315	0.731961355	0.312345578	0.252400467	0.126200234	0.126200234	1.719478183	4.454579548
TCGA-A2-A0YM_tumor	0.573710711	0.885573969	0.529579118	1.20332144	1.582853141	2.371337606	7.146375985	4.067800592
TCGA-A2-A0YT_tumor	0.342843891	0.141985369	0	0.327081072	0.308559502	0.414269702	1.534739536	4.226271632
TCGA-A2-A1FV_tumor	0.599697087	1.169944763	0.65056425	0.714817509	1.076242093	0.728203605	4.939469307	5.92480737
TCGA-A2-A1FW_tumor	0.10794354	0.124135071	0.237475789	0.653058419	0.206892145	0.377802391	1.707307355	4.554033961
TCGA-A2-A1FX_tumor	0.512934811	1.028657311	0.507359433	1.68655196	0.850245203	1.536016744	6.121765462	6.002847032
TCGA-A2-A1FZ_tumor	0.664233502	0.241154838	0.605002489	0.533079116	1.193081831	0.647310355	3.883862131	5.887633408
TCGA-A2-A1G0_tumor	0.421645395	0.518021486	0.521033238	0.590303553	0.617409329	0.502962721	3.171375722	5.788718137
TCGA-A2-A1G1_tumor	0.315297498	0.563713708	0.260359298	0.398899107	0.272302385	0.303354411	2.113926407	2.378341896
TCGA-A2-A1G4_tumor	0	0.243547122	0.258159949	0.557722908	0.224063352	0.172918456	1.456411787	5.812410716
TCGA-A2-A1G6_tumor	0.134305155	0.134305155	0.134305155	0.134305155	0.701744433	0.186535086	1.425500139	4.253876497
